1	263531	Мстители	2024-04-13 19:52:19.882352	\N
2	838	Человек-паук	2024-04-13 19:52:19.905247	\N
3	160946	Первый мститель	2024-04-13 19:52:19.929303	\N
4	23263	Фантастическая четверка	2024-04-13 19:52:19.949031	\N
5	271748	Герои	2024-04-13 19:52:19.971173	\N
6	220589	Телепорт	2024-04-13 19:52:19.990123	\N
7	462762	Железный человек 3	2024-04-13 19:52:20.009015	\N
8	309	Эквилибриум	2024-04-13 19:58:59.186003	\N
9	399959	Трон: Наследие	2024-04-13 19:58:59.20638	\N
10	409208	Обитель зла 4: Жизнь после смерти 3D	2024-04-13 19:58:59.225406	\N
11	447301	Начало	2024-04-13 19:58:59.247367	\N
12	325797	Аниматрица	2024-04-13 19:58:59.266924	\N
13	3800	Джонни Мнемоник	2024-04-13 19:58:59.288817	\N
14	416107	Монте-Карло	2024-04-13 20:14:32.225192	\N
15	3842	История Золушки	2024-04-13 20:14:32.244209	\N
16	2459	Суперзвезда	2024-04-13 20:14:32.264385	\N
17	405606	Ханна Монтана: Кино	2024-04-13 20:14:32.284326	\N
18	82928	Сабрина едет в Рим	2024-04-13 20:14:32.304677	\N
19	1086	Тринадцатый этаж	2024-04-13 20:19:09.108736	\N
20	4739	Тёмный город	2024-04-13 20:19:09.134091	\N
21	8228	Призрак в доспехах	2024-04-13 20:19:09.154459	\N
22	17463	Трон	2024-04-13 20:19:09.175662	\N
23	81291	Остров	2024-04-13 20:19:09.195547	\N
24	6302	Детсадовский полицейский	2024-04-13 20:19:10.258285	\N
25	77450	Лысый нянька: Спецзадание	2024-04-13 20:19:10.276514	\N
26	3843	Оптом дешевле	2024-04-13 20:19:10.296271	\N
27	3926	Балбесы	2024-04-13 20:19:20.023455	\N
28	429739	Ученик чародея	2024-04-13 20:19:21.615883	\N
29	817510	Железный кулак	2024-04-13 20:19:21.634902	\N
30	391772	Всегда говори «ДА»	2024-04-13 20:19:31.748837	\N
31	1594	Анализируй это	2024-04-13 20:19:31.767288	\N
32	161133	Школа негодяев	2024-04-13 20:19:31.786915	\N
33	9207	А как же Боб?	2024-04-13 20:19:31.808226	\N
34	1591	Анализируй то	2024-04-13 20:19:31.82945	\N
35	12198	Игра	2024-04-13 20:19:31.85155	\N
36	462938	Мой парень — псих	2024-04-13 20:19:31.873993	\N
37	464963	Игра престолов	2024-04-13 20:19:33.288968	\N
38	276762	Гарри Поттер и Дары Смерти: Часть I	2024-04-13 20:19:33.309467	\N
39	407636	Гарри Поттер и Дары Смерти: Часть II	2024-04-13 20:19:33.331227	\N
