1	Брайан Сингер	\N	\N	\N	2024-04-13 19:52:19.299016	\N
2	Лана Вачовски	\N	\N	\N	2024-04-13 19:58:58.640951	\N
3	Лилли Вачовски	\N	\N	\N	2024-04-13 19:58:58.661561	\N
4	Джим Фолл	\N	\N	\N	2024-04-13 20:14:31.564885	\N
5	Стив Карр	\N	\N	\N	2024-04-13 20:19:09.723223	\N
6	Эндрю Дэвис	\N	\N	\N	2024-04-13 20:19:19.497776	\N
7	Пол Хантер	\N	\N	\N	2024-04-13 20:19:21.060288	\N
8	Питер Сигал	\N	\N	\N	2024-04-13 20:19:31.239599	\N
9	Питер Джексон	\N	\N	\N	2024-04-13 20:19:32.74708	\N
10	Джеймс Фоули	\N	\N	\N	2024-04-13 20:19:41.884498	\N
11	Гуриндер Чадха	\N	\N	\N	2024-04-13 20:19:43.080031	\N
12	Джоэл Шумахер	\N	\N	\N	2024-04-13 20:19:53.0979	\N
13	Том Брэди	\N	\N	\N	2024-04-13 20:19:54.497774	\N
14	Роджер Дональдсон	\N	\N	\N	2024-04-13 20:20:04.005138	\N
15	Джон Уайтселл	\N	\N	\N	2024-04-13 20:20:15.655308	\N
16	Марк Лоуренс	\N	\N	\N	2024-04-13 20:20:17.69079	\N
17	Трой Миллер	\N	\N	\N	2024-04-13 20:20:27.56319	\N
18	Ф. Гэри Грей	\N	\N	\N	2024-04-13 20:20:29.376892	\N
19	Курт Уиммер	\N	\N	\N	2024-04-13 20:20:39.172472	\N
20	Джонатан Мостоу	\N	\N	\N	2024-04-13 20:20:42.020692	\N
21	Спайк Ли	\N	\N	\N	2024-04-13 21:17:59.150486	\N
22	Ник Хэмм	\N	\N	\N	2024-04-13 21:18:04.392069	\N
23	Стюарт Бейрд	\N	\N	\N	2024-04-13 21:18:26.397775	\N
24	Вуди Аллен	\N	\N	\N	2024-04-13 21:18:32.511666	\N
25	Альфонсо Куарон	\N	\N	\N	2024-04-13 21:18:54.386249	\N
26	Стивен Долдри	\N	\N	\N	2024-04-13 21:18:59.919746	\N
27	Джон Синглтон	\N	\N	\N	2024-04-13 21:19:19.713866	\N
28	Теренс Дэвис	\N	\N	\N	2024-04-13 21:19:25.098391	\N
29	Стивен Спилберг	\N	\N	\N	2024-04-13 21:19:44.223936	\N
30	Дональд Питри	\N	\N	\N	2024-04-13 21:19:50.404241	\N
31	Фрэнсис Форд Коппола	\N	\N	\N	2024-04-13 21:20:11.790264	\N
32	Мишель Гондри	\N	\N	\N	2024-04-13 21:20:17.598993	\N
33	Фрэнк Дарабонт	\N	\N	\N	2024-04-13 21:20:38.055221	\N
34	Джесси Нельсон	\N	\N	\N	2024-04-13 21:20:43.370392	\N
35	Крис Уэдж	\N	\N	\N	2024-04-13 21:21:09.044438	\N
36	Карлос Салдана	\N	\N	\N	2024-04-13 21:21:09.067957	\N
37	Джеймс Мэнголд	\N	\N	\N	2024-04-13 21:21:33.232944	\N
38	Бёрр Стирс	\N	\N	\N	2024-04-13 21:21:57.751633	\N
39	Оливер Паркер	\N	\N	\N	2024-04-13 21:22:24.641788	\N
40	Джордж Лукас	\N	\N	\N	2024-04-13 21:22:30.557116	\N
41	Тодд Филд	\N	\N	\N	2024-04-13 21:22:51.660715	\N
42	Кристофер Нолан	\N	\N	\N	2024-04-13 21:22:59.711096	\N
43	Милош Форман	\N	\N	\N	2024-04-13 21:23:26.410379	\N
44	Патрис Шеро	\N	\N	\N	2024-04-13 21:23:32.171398	\N
45	Ирвин Кершнер	\N	\N	\N	2024-04-13 21:23:56.844345	\N
46	Ричард Эйр	\N	\N	\N	2024-04-13 21:23:58.862936	\N
47	Гаспар Ноэ	\N	\N	\N	2024-04-13 21:24:27.560847	\N
48	Лоне Шерфиг	\N	\N	\N	2024-04-13 21:24:53.861172	\N
49	Жан-Пьер Жёне	\N	\N	\N	2024-04-13 21:25:18.033327	\N
50	Джефф Треймейн	\N	\N	\N	2024-04-13 21:25:21.298083	\N
51	Квентин Тарантино	\N	\N	\N	2024-04-13 21:25:44.409422	\N
52	Юсеф Фарес	\N	\N	\N	2024-04-13 21:25:48.012003	\N
53	Джонатан Демме	\N	\N	\N	2024-04-13 21:26:04.967915	\N
54	Кевин Смит	\N	\N	\N	2024-04-13 21:26:19.413096	\N
55	Серджио Леоне	\N	\N	\N	2024-04-13 21:26:29.586227	\N
56	Ник Кассаветис	\N	\N	\N	2024-04-13 21:26:47.358209	\N
57	Мартин Скорсезе	\N	\N	\N	2024-04-13 21:26:56.419734	\N
58	Джон Дал	\N	\N	\N	2024-04-13 21:27:14.628024	\N
59	Сэм Мендес	\N	\N	\N	2024-04-13 21:27:25.362523	\N
60	Кэтрин Бигелоу	\N	\N	\N	2024-04-13 21:27:48.346506	\N
61	Роман Полански	\N	\N	\N	2024-04-13 21:28:11.521427	\N
62	Иэн Софтли	\N	\N	\N	2024-04-13 21:28:15.179926	\N
63	Эдвард Нортон	\N	\N	\N	2024-04-13 21:29:07.917007	\N
64	Дэвид Финчер	\N	\N	\N	2024-04-13 21:29:14.713285	\N
65	Джон Тёртлтауб	\N	\N	\N	2024-04-13 21:29:42.997902	\N
66	Вольфганг Петерсен	\N	\N	\N	2024-04-13 21:29:45.921143	\N
67	Крис Наон	\N	\N	\N	2024-04-13 21:30:13.524215	\N
68	Кёртис Хэнсон	\N	\N	\N	2024-04-13 21:30:15.799545	\N
69	Чарльз Херман-Вёрмфелд	\N	\N	\N	2024-04-13 21:30:39.406519	\N
70	Брайан Хелгеленд	\N	\N	\N	2024-04-13 21:31:06.09412	\N
71	Даррен Аронофски	\N	\N	\N	2024-04-13 21:31:17.299166	\N
72	Том Тыквер	\N	\N	\N	2024-04-13 21:31:40.66218	\N
73	Хаяо Миядзаки	\N	\N	\N	2024-04-13 21:31:52.783081	\N
74	Майкл Куэста	\N	\N	\N	2024-04-13 21:32:04.559141	\N
75	Рэй Лоуренс	\N	\N	\N	2024-04-13 21:32:33.503175	\N
76	Род Лури	\N	\N	\N	2024-04-13 21:33:00.053142	\N
77	Терри Гиллиам	\N	\N	\N	2024-04-13 21:33:21.175159	\N
78	Терри Джонс	\N	\N	\N	2024-04-13 21:33:21.211212	\N
79	Роберт Лукетич	\N	\N	\N	2024-04-13 21:33:25.603052	\N
80	Роберт Редфорд	\N	\N	\N	2024-04-13 21:33:51.636315	\N
81	Ирвин Уинклер	\N	\N	\N	2024-04-13 21:34:17.824584	\N
82	Алан Паркер	\N	\N	\N	2024-04-13 21:34:31.685748	\N
83	Энг Ли	\N	\N	\N	2024-04-13 21:34:43.306985	\N
84	Лукас Мудиссон	\N	\N	\N	2024-04-13 21:34:57.102772	\N
85	Стэнли Кубрик	\N	\N	\N	2024-04-13 21:35:11.502127	\N
86	Дин ДеБлуа	\N	\N	\N	2024-04-13 21:35:23.843399	\N
87	Крис Сандерс	\N	\N	\N	2024-04-13 21:35:23.866403	\N
88	Роберто Бениньи	\N	\N	\N	2024-04-13 21:35:38.851308	\N
89	Леа Пул	\N	\N	\N	2024-04-13 21:35:52.273421	\N
90	Тони Кэй	\N	\N	\N	2024-04-13 21:36:06.070687	\N
91	Джина Принс-Байтвуд	\N	\N	\N	2024-04-13 21:36:19.803041	\N
92	Джордж Рой Хилл	\N	\N	\N	2024-04-13 21:36:33.241417	\N
93	Николь Холофсенер	\N	\N	\N	2024-04-13 21:36:48.057267	\N
94	Ридли Скотт	\N	\N	\N	2024-04-13 21:37:06.481322	\N
95	Хулио Медем	\N	\N	\N	2024-04-13 21:37:15.817111	\N
96	Люк Бессон	\N	\N	\N	2024-04-13 21:37:27.981136	\N
97	Джон Фавро	\N	\N	\N	2024-04-13 21:37:43.695289	\N
98	Джузеппе Торнаторе	\N	\N	\N	2024-04-13 21:38:40.229885	\N
99	Салли Поттер	\N	\N	\N	2024-04-13 21:39:06.256461	\N
100	М. Найт Шьямалан	\N	\N	\N	2024-04-13 21:39:07.999915	\N
101	Барри Сколник	\N	\N	\N	2024-04-13 21:39:33.448427	\N
102	Джей Роуч	\N	\N	\N	2024-04-13 21:40:01.112614	\N
103	Джордж Тиллман мл.	\N	\N	\N	2024-04-13 21:40:29.343516	\N
104	Мэл Гибсон	\N	\N	\N	2024-04-13 21:40:30.169854	\N
105	Ринтаро	\N	\N	\N	2024-04-13 21:40:55.794437	\N
106	Акира Куросава	\N	\N	\N	2024-04-13 21:40:56.413013	\N
107	Джоэл Коэн	\N	\N	\N	2024-04-13 21:41:13.49449	\N
108	Итан Коэн	\N	\N	\N	2024-04-13 21:41:13.527266	\N
109	Гор Вербински	\N	\N	\N	2024-04-13 21:41:25.021447	\N
110	Аки Каурисмяки	\N	\N	\N	2024-04-13 21:41:52.033429	\N
111	Джон Лассетер	\N	\N	\N	2024-04-13 21:42:10.910475	\N
112	Эш Брэннон	\N	\N	\N	2024-04-13 21:42:10.934195	\N
113	Ли Анкрич	\N	\N	\N	2024-04-13 21:42:10.958164	\N
114	Джеймс Кэмерон	\N	\N	\N	2024-04-13 21:42:39.355762	\N
115	Мира Наир	\N	\N	\N	2024-04-13 21:42:45.203316	\N
116	Марк Форстер	\N	\N	\N	2024-04-13 21:43:10.75647	\N
117	Брэд Силберлинг	\N	\N	\N	2024-04-13 21:43:37.275187	\N
118	Ричард Келли	\N	\N	\N	2024-04-13 21:43:41.385873	\N
119	Марк Пеллингтон	\N	\N	\N	2024-04-13 21:43:50.987838	\N
120	Роб Райнер	\N	\N	\N	2024-04-13 21:44:10.877272	\N
121	Стивен Соммерс	\N	\N	\N	2024-04-13 21:44:17.299097	\N
122	Барбет Шрёдер	\N	\N	\N	2024-04-13 21:44:45.763906	\N
123	Джоэл Цвик	\N	\N	\N	2024-04-13 21:44:59.44479	\N
124	Джей Расселл	\N	\N	\N	2024-04-13 21:45:12.559425	\N
