1	298	tt0290334	Люди Икс 2	X2	/static/media/images/2003/298/postr-2024-04-13-19-52-13.jpg	liudi-iks-2-1	1	1	1	1	1	Сплотиться сегодня, чтобы наступило завтра	Мутанты продолжают борьбу против общества, которое страшит их, и которому они не доверяют. Их положение становится еще более отчаянным, когда они подвергаются мощной атаке неизвестного противника, обладающего экстраординарными способностями. \n\nВнезапное нападение снова становится причиной политического и общественного резонанса по поводу введения повсеместной регистрации мутантов и причиной образования движения против мутантов, возглавляемого Уильямом Страйкером, бывшим военным, который, по слухам, проводил опыты над мутантами.	Супергерои в опале объединяются с вечным врагом Магнето, чтобы выжить. Сиквел истории мутантов	1	1	2024-02-28 17:48:25.728264	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 19:52:20.04434	\N
2	299	tt0234215	Матрица: Перезагрузка	The Matrix Reloaded	/static/media/images/2003/299/postr-2024-04-13-19-58-53.jpg	matritsa-perezagruzka-2	2	2	2	1	2	Одни машины помогают нам жить, другие – пытаются нас убить	Борцы за свободу Нео, Тринити и Морфеус продолжают руководить восстанием людей против армии машин. Они вынуждены использовать не только арсенал превосходного оружия, но и свои выдающиеся навыки. Участие в миссии по спасению человеческой расы от истребления приносит им более глубокое понимание Матрицы и осознание центральной роли Нео в судьбе человечества.	Нео против бесчисленных копий агента Смита. Вторая часть знаковой трилогии с Киану Ривзом	1	2	2024-02-28 20:20:15.564881	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 19:58:59.323785	\N
3	300	tt0306841	Лиззи Магуайр	The Lizzie McGuire Movie	/static/media/images/2003/300/postr-2024-04-13-20-14-26.jpg	lizzi-maguair-3	3	3	3	1	3	Lizze McGuire goes to Rome.	Тринадцатилетняя школьница Лиззи Магуайер и ее приятели Гордо, Кейт и Эсан собираются оттянуться по полной программе во время их поездки с классом в Италию.\n\nНо там случается весьма неожиданное происшествие: девочку ошибочно принимают за итальянскую поп-звезду Изабеллу, да к тому же девушка влюбляется в бывшего дружка Изабеллы Паоло. Когда родители Лизи обо всем узнают, они вместе с ее братом Мэттом срочно вылетают в Италию.\n\nНо Лиззи уже не та закомплексованная девочка-подросток, кем была раньше, она до такой степени вжилась в роль певицы, что и на самом деле стала самой настоящей звездой.	Лиззи едет в Рим, где ее принимают за поп-звезду. Финальные похождения школьницы в исполнении Хилари Дафф	1	1	2024-02-29 08:01:50.464268	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 20:14:32.343427	\N
4	301	tt0133093	Матрица	The Matrix	/static/media/images/1999/301/postr-2024-04-13-20-19-03.jpg	matritsa-4	4	4	4	2	4	Добро пожаловать в реальный мир	Жизнь Томаса Андерсона разделена на две части: днём он — самый обычный офисный работник, получающий нагоняи от начальства, а ночью превращается в хакера по имени Нео, и нет места в сети, куда он бы не смог проникнуть. Но однажды всё меняется. Томас узнаёт ужасающую правду о реальности.	Хакер Нео узнает, что его мир — виртуальный. Выдающийся экшен, доказавший, что зрелищное кино может быть умным	1	2	2024-03-08 06:42:15.512188	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 20:19:09.234314	\N
5	310	tt0317303	Дежурный папа	Daddy Day Care	/static/media/images/2003/310/postr-2024-04-13-20-19-04.jpg	dezhurnyi-papa-5	5	5	5	1	5	D-Day Is Coming	Чарли и Фила увольняют с работы в крупной корпорации. Теперь им самим придётся сидеть со своими сыновьями, так как оплачивать счета дорогостоящего детского центра уже не на что. Промучившись пару недель со своими отпрысками, папаши так увлекаются этим делом, что решают поставить дело на деловые рельсы и открывают новый центр дневного пребывания для детей. \r\n\r\nЧарли и Филл находят всё новые и новые нетрадиционные и забавные способы воспитательного воздействия на малышей, и центр «Дежурный папа» становится всё более популярным. Почувствовав жёсткое соперничество со стороны усатых няней, директриса дорогого детского центра решает выжить конкурентов-новичков из бизнеса.	Потерявшие работу папаши открывают детский сад на дому. Феерический дуэт Эдди Мёрфи и Джеффа Гарлина	1	3	2024-02-29 09:17:43.213211	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 20:19:10.329394	\N
6	302	tt0311289	Клад	Holes	/static/media/images/2003/302/postr-2024-04-13-20-19-14.jpg	klad-6	6	6	6	1	6	Кто ищет, тот всегда найдёт	Стэнли арестован по ложному обвинению в краже кроссовок и отправлен в трудовой лагерь, расположенный в техасской пустыне. Воспитатели «закаляют характер» подростков странным наказанием. Ребята копают ямы в иссушенной земле, но не знают, что их на самом деле используют для раскопок таинственного клада. Однако Стэнли удается раскрыть загадочную связь между сокровищами и проклятием, тяготеющим долгие годы над его семьей…	Стэнли отбывает наказание в лагере, где все зачем-то роют ямы. Юный Шайа ЛаБаф в оригинальной семейной комедии	1	1	2024-02-29 08:49:04.690769	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 20:19:20.059484	\N
7	311	tt0245803	Пуленепробиваемый	Bulletproof Monk	/static/media/images/2003/311/postr-2024-04-13-20-19-15.jpg	puleneprobivaemyi-7	7	7	7	1	7	To fulfill the prophecy, he must find the one to take his place	Монах-мастер боевых искусств охраняет древний свиток — артефакт, содержащий ключ к безграничной власти. Монаху нужно найти следующего хранителя, и поиски приводят его в Америку. Согласно древнему пророчеству и к изумлению Монаха его преемником оказывается обаятельный хулиган по имени Кар. Пока Монах обучает Кара, обоим приходится защищать свиток от одержимого жаждой власти человека, который гоняется за ним 60 лет.	\N	1	1	2024-02-29 09:17:12.858768	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 20:19:21.667793	\N
8	303	tt0305224	Управление гневом	Anger Management	/static/media/images/2003/303/postr-2024-04-13-20-19-26.jpg	upravlenie-gnevom-8	8	8	8	1	8	Let the healing begin	Скромному клерку отчаянно не везет. Парня по обвинению в нападении на бортпроводницу приговаривают к лечению у психиатра. Но верно говорят, что большинство психиатров сами немного безумны. Или сильно не в себе...	Тихоня Дэйв проходит терапию у доктора Бадди — и это сущее наказание. Джек Николсон учит жизни Адама Сэндлера	1	2	2024-02-28 21:20:04.801497	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 20:19:31.909615	\N
9	312	tt0167261	Властелин колец: Две крепости	The Lord of the Rings: The Two Towers	/static/media/images/2002/312/postr-2024-04-13-20-19-27.jpg	vlastelin-kolets-dve-kreposti-9	9	9	9	3	9	Приключение продолжается	Братство распалось, но Кольцо Всевластья должно быть уничтожено. Фродо и Сэм вынуждены довериться Голлуму, который взялся провести их к вратам Мордора. Громадная армия Сарумана приближается: члены братства и их союзники готовы принять бой. Битва за Средиземье продолжается.	Голлум ведет хоббитов в Мордор, а великие армии готовятся к битве. Вторая часть трилогии, два «Оскара»	1	1	2024-02-29 05:17:18.58079	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 20:19:33.4411	\N
10	304	tt0310910	Афера	Confidence	/static/media/images/2003/304/postr-2024-04-13-20-19-36.jpg	afera-10	10	10	10	1	10	Это не про деньги, это про ДЕНЬГИ!!!	Джейк Вига – хитроумный и обаятельный мошенник. Последняя афера Джейка привела к тому, что его дорожки пересеклись с мафией – при помощи своей команды он лишил нескольких тысяч долларов Лайонела Долби, – счетовода эксцентричного мафиозного босса Уинстона Кинга по прозвищу «Король».\n\nМафия шутить не любит, а любит выбивать долги из тех, кто пытается ее надуть. Чтобы сохранить жизнь и расквитаться с долгами, Джейку приходится устроить новую, еще более изощренную аферу – сложнейшую схему, в которой требуется «творческий подход к бухгалтерии».\n\nНеожиданные помехи появляются одна за другой: палки в колеса Джейку вставляют его старый враг, агент ФБР Гюнтер Бутан, Трэвис, правая рука «Короля» и хитроумная карманщица Лили на которую Джейк успел положить глаз...	Чтобы уладить конфликт с мафиози, аферист должен обокрасть его конкурента. Триллер с Эдвардом Бернсом	1	2	2024-03-19 18:19:14.871619	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 20:19:42.533149	\N
