1	триллер	2024-04-13 19:52:19.19831	\N
2	фантастика	2024-04-13 19:52:19.219601	\N
3	боевик	2024-04-13 19:52:19.239412	\N
4	мелодрама	2024-04-13 20:14:31.438949	\N
5	приключения	2024-04-13 20:14:31.459677	\N
6	комедия	2024-04-13 20:14:31.483375	\N
7	музыка	2024-04-13 20:14:31.506097	\N
8	семейный	2024-04-13 20:14:31.531338	\N
9	драма	2024-04-13 20:19:19.431042	\N
10	детектив	2024-04-13 20:19:19.450231	\N
11	фэнтези	2024-04-13 20:19:21.020091	\N
12	криминал	2024-04-13 20:19:41.825872	\N
13	спорт	2024-04-13 20:19:43.020905	\N
